RANK,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,Type,UID,Population Sum,% of Population,Total
1101,50,40,121,0,0,0,0,A,Pittsburg County,Oklahoma,43774,43784,43695,43613,County,Pittsburg County_Oklahoma_43774_43784_43695_43613,296635713,89.95%,
1102,50,13,219,0,0,0,0,A,Oconee County,Georgia,41799,42013,43025,43588,County,Oconee County_Georgia_41799_42013_43025_43588,296679301,89.97%,
1103,50,39,97,0,0,0,0,A,Madison County,Ohio,43847,43853,44404,43540,County,Madison County_Ohio_43847_43853_44404_43540,296722841,89.98%,
1104,50,12,39,0,0,0,0,A,Gadsden County,Florida,43820,43402,43554,43403,County,Gadsden County_Florida_43820_43402_43554_43403,296766244,89.99%,
1105,50,39,71,0,0,0,0,A,Highland County,Ohio,43317,43359,43423,43391,County,Highland County_Ohio_43317_43359_43423_43391,296809635,90.01%,
1106,50,29,159,0,0,0,0,A,Pettis County,Missouri,42984,43001,43206,43353,County,Pettis County_Missouri_42984_43001_43206_43353,296852988,90.02%,
1107,50,42,61,0,0,0,0,A,Huntingdon County,Pennsylvania,44094,44047,43937,43281,County,Huntingdon County_Pennsylvania_44094_44047_43937_43281,296896269,90.03%,
1108,50,13,69,0,0,0,0,A,Coffee County,Georgia,43088,43052,42997,43172,County,Coffee County_Georgia_43088_43052_42997_43172,296939441,90.04%,
1109,50,51,149,0,0,0,1,A,Prince George County,Virginia,43010,43045,42998,43134,County,Prince George County_Virginia_43010_43045_42998_43134,296982575,90.06%,
1110,50,53,47,0,0,0,0,A,Okanogan County,Washington,42098,42146,42741,43127,County,Okanogan County_Washington_42098_42146_42741_43127,297025702,90.07%,
1111,50,48,97,0,0,0,0,A,Cooke County,Texas,41671,41744,42408,43050,County,Cooke County_Texas_41671_41744_42408_43050,297068752,90.08%,
1112,50,49,43,0,0,0,0,A,Summit County,Utah,42364,42482,43168,43036,County,Summit County_Utah_42364_42482_43168_43036,297111788,90.10%,
1113,50,16,69,0,0,0,0,A,Nez Perce County,Idaho,42089,42141,42509,43004,County,Nez Perce County_Idaho_42089_42141_42509_43004,297154792,90.11%,
1114,50,37,99,0,0,0,0,A,Jackson County,North Carolina,43107,42231,42520,42955,County,Jackson County_North Carolina_43107_42231_42520_42955,297197747,90.12%,
1115,50,37,153,0,0,0,0,A,Richmond County,North Carolina,42953,42916,42842,42778,County,Richmond County_North Carolina_42953_42916_42842_42778,297240525,90.14%,
1116,50,42,119,0,0,0,0,A,Union County,Pennsylvania,42675,42639,42419,42744,County,Union County_Pennsylvania_42675_42639_42419_42744,297283269,90.15%,
1117,50,27,59,0,0,0,0,A,Isanti County,Minnesota,41133,41385,41951,42727,County,Isanti County_Minnesota_41133_41385_41951_42727,297325996,90.16%,
1118,50,28,149,0,0,0,0,A,Warren County,Mississippi,44721,44544,43450,42649,County,Warren County_Mississippi_44721_44544_43450_42649,297368645,90.17%,
1119,50,5,91,0,0,0,0,A,Miller County,Arkansas,42595,42579,42499,42552,County,Miller County_Arkansas_42595_42579_42499_42552,297411197,90.19%,
1120,50,55,93,0,0,0,0,A,Pierce County,Wisconsin,42205,42223,41606,42532,County,Pierce County_Wisconsin_42205_42223_41606_42532,297453729,90.20%,
1121,50,28,151,0,0,0,0,A,Washington County,Mississippi,44918,44631,43641,42514,County,Washington County_Mississippi_44918_44631_43641_42514,297496243,90.21%,
1122,50,48,459,0,0,0,0,A,Upshur County,Texas,40890,41038,41811,42488,County,Upshur County_Texas_40890_41038_41811_42488,297538731,90.23%,
1123,50,5,5,0,0,0,0,A,Baxter County,Arkansas,41633,41687,42171,42435,County,Baxter County_Arkansas_41633_41687_42171_42435,297581166,90.24%,
1124,50,19,33,0,0,0,0,A,Cerro Gordo County,Iowa,43132,43023,42761,42409,County,Cerro Gordo County_Iowa_43132_43023_42761_42409,297623575,90.25%,
1125,50,19,139,0,0,0,0,A,Muscatine County,Iowa,43242,43141,42688,42377,County,Muscatine County_Iowa_43242_43141_42688_42377,297665952,90.27%,
1126,50,39,107,0,0,0,0,A,Mercer County,Ohio,42528,42526,42369,42348,County,Mercer County_Ohio_42528_42526_42369_42348,297708300,90.28%,
1127,50,29,23,0,0,0,0,A,Butler County,Missouri,42128,42059,42150,42179,County,Butler County_Missouri_42128_42059_42150_42179,297750479,90.29%,
1128,50,39,51,0,0,0,0,A,Fulton County,Ohio,42713,42643,42473,42171,County,Fulton County_Ohio_42713_42643_42473_42171,297792650,90.30%,
1129,50,37,181,0,0,0,0,A,Vance County,North Carolina,42570,42535,42103,42138,County,Vance County_North Carolina_42570_42535_42103_42138,297834788,90.32%,
1130,50,47,177,0,0,0,0,A,Warren County,Tennessee,40951,41054,41529,42026,County,Warren County_Tennessee_40951_41054_41529_42026,297876814,90.33%,
1131,50,55,75,0,0,0,0,A,Marinette County,Wisconsin,41874,41885,41849,41988,County,Marinette County_Wisconsin_41874_41885_41849_41988,297918802,90.34%,
1132,50,39,27,0,0,0,0,A,Clinton County,Ohio,42022,42023,42100,41964,County,Clinton County_Ohio_42022_42023_42100_41964,297960766,90.35%,
1133,50,47,21,0,0,0,0,A,Cheatham County,Tennessee,41065,41128,41547,41830,County,Cheatham County_Tennessee_41065_41128_41547_41830,298002596,90.37%,
1134,50,48,481,0,0,0,0,A,Wharton County,Texas,41574,41564,41697,41824,County,Wharton County_Texas_41574_41564_41697_41824,298044420,90.38%,
1135,50,41,7,0,0,0,0,A,Clatsop County,Oregon,41078,41160,41916,41695,County,Clatsop County_Oregon_41078_41160_41916_41695,298086115,90.39%,
1136,50,39,33,0,0,0,0,A,Crawford County,Ohio,42010,42003,41797,41522,County,Crawford County_Ohio_42010_42003_41797_41522,298127637,90.41%,
1137,50,27,9,0,0,0,0,A,Benton County,Minnesota,41381,41357,41496,41463,County,Benton County_Minnesota_41381_41357_41496_41463,298169100,90.42%,
1138,50,54,69,0,0,0,0,A,Ohio County,West Virginia,42444,42338,41878,41447,County,Ohio County_West Virginia_42444_42338_41878_41447,298210547,90.43%,
1139,50,51,187,0,0,0,0,A,Warren County,Virginia,40724,40786,40957,41440,County,Warren County_Virginia_40724_40786_40957_41440,298251987,90.44%,
1140,50,40,41,0,0,0,0,A,Delaware County,Oklahoma,40393,40385,40927,41413,County,Delaware County_Oklahoma_40393_40385_40927_41413,298293400,90.46%,
1141,50,13,277,0,0,0,0,A,Tift County,Georgia,41347,41374,41123,41412,County,Tift County_Georgia_41347_41374_41123_41412,298334812,90.47%,
1142,50,6,5,0,0,0,0,A,Amador County,California,40474,40532,41144,41412,County,Amador County_California_40474_40532_41144_41412,298376224,90.48%,
1143,50,56,37,0,0,0,0,A,Sweetwater County,Wyoming,42267,42190,41582,41345,County,Sweetwater County_Wyoming_42267_42190_41582_41345,298417569,90.49%,
1144,50,12,51,0,0,0,0,A,Hendry County,Florida,39626,39725,40212,41339,County,Hendry County_Florida_39626_39725_40212_41339,298458908,90.51%,
1145,50,23,13,0,0,0,0,A,Knox County,Maine,40608,40657,41074,41164,County,Knox County_Maine_40608_40657_41074_41164,298500072,90.52%,
